	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d	squat01.c3d
	L_Hip_Angle	L_Hip_Angle	L_Hip_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Hip_Angle	R_Hip_Angle	R_Hip_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	Pelvis_Angle	Pelvis_Angle	Pelvis_Angle	Trunk_Angle	Trunk_Angle	Trunk_Angle	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.360475	5.004824	9.622008	0.684812	-0.082565	8.500760	0.256203	6.124521	1.639298	1.113839	-0.920787	-20.764179	-4.852559	0.362847	-4.133402	2.698901	0.574216	0.323966						
2	0.374918	5.020407	9.638051	0.691049	-0.088284	8.484671	0.255647	6.107940	1.619050	1.122738	-0.919883	-20.767672	-4.865619	0.352430	-4.118769	2.692750	0.578287	0.356650						
3	0.386302	5.030237	9.653038	0.695880	-0.093529	8.471992	0.250943	6.098135	1.599884	1.136007	-0.917864	-20.773094	-4.875104	0.347836	-4.104396	2.686268	0.582447	0.390690	0.863031	-2.197676	0.357818	-0.517571	9.445480	-4.494344
4	0.395672	5.036267	9.664881	0.699603	-0.098240	8.463630	0.243136	6.093505	1.581517	1.152684	-0.915264	-20.780024	-4.882308	0.347174	-4.089624	2.679551	0.586573	0.425356	0.678118	-1.560184	0.417307	1.144831	7.867295	-3.814085
5	0.403958	5.040097	9.672164	0.702281	-0.102229	8.460041	0.233224	6.092149	1.563530	1.171871	-0.912052	-20.787863	-4.888346	0.348762	-4.073941	2.672689	0.590547	0.459994	0.510074	-0.931096	0.476084	2.729843	6.336277	-3.159182
6	0.411820	5.042950	9.673818	0.704029	-0.105389	8.461602	0.221976	6.092224	1.545487	1.192886	-0.907861	-20.795980	-4.894104	0.351266	-4.056995	2.665792	0.594269	0.494046	0.360885	-0.382522	0.527960	4.080774	5.009989	-2.595953
