	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d	squat03.c3d
	L_Hip_Angle	L_Hip_Angle	L_Hip_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Hip_Angle	R_Hip_Angle	R_Hip_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	Pelvis_Angle	Pelvis_Angle	Pelvis_Angle	Trunk_Angle	Trunk_Angle	Trunk_Angle	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
18	2.245793	4.927485	8.961508	1.838719	-0.156501	8.800357	1.258665	6.352974	-0.329544	3.420495	-1.033510	-21.490280	-6.972605	0.800762	-2.868571	4.715177	0.014415	-0.381401	-0.939851	-0.090350	0.651675	2.492228	1.962509	-1.470389
19	2.248542	4.928473	8.963084	1.831498	-0.154639	8.806705	1.260474	6.359837	-0.321840	3.416769	-1.037293	-21.500603	-6.971264	0.800943	-2.874368	4.719949	0.008200	-0.386492	-0.988570	-0.103802	0.683523	2.365938	2.016982	-1.524883
20	2.252668	4.929293	8.963038	1.821655	-0.152183	8.812535	1.262223	6.366989	-0.314285	3.412860	-1.041230	-21.511848	-6.969339	0.801606	-2.878863	4.723470	0.001414	-0.392883	-0.985002	-0.141010	0.703029	2.288728	2.058546	-1.563006
21	2.258538	4.930242	8.961496	1.808807	-0.149267	8.816985	1.263663	6.374228	-0.307187	3.409250	-1.045086	-21.523270	-6.966908	0.802769	-2.881922	4.725626	-0.005934	-0.400416	-0.967791	-0.156298	0.713949	2.244352	2.080722	-1.584191
22	2.266457	4.931400	8.958532	1.792572	-0.145884	8.819770	1.264527	6.381320	-0.300797	3.406228	-1.048693	-21.534096	-6.963886	0.804446	-2.883441	4.726341	-0.013772	-0.408817	-0.936514	-0.180706	0.717844	2.245506	2.107949	-1.599353
23	2.276593	4.932872	8.954474	1.773060	-0.142257	8.820341	1.264829	6.387995	-0.295086	3.404024	-1.051773	-21.543997	-6.960408	0.806582	-2.883347	4.725547	-0.022078	-0.417744	-0.882847	-0.208579	0.715168	2.271463	2.128582	-1.605042
24	2.289051	4.934612	8.949667	1.750454	-0.138149	8.818751	1.264554	6.393706	-0.290163	3.402758	-1.053858	-21.552708	-6.956631	0.808960	-2.881609	4.723204	-0.030782	-0.426816	-0.818928	-0.235454	0.707102	2.299645	2.128045	-1.597961
25	2.303741	4.936530	8.944377	1.725474	-0.133684	8.815130	1.263942	6.398067	-0.286134	3.402483	-1.054526	-21.559916	-6.952894	0.811430	-2.878284	4.719270	-0.039884	-0.435673	-0.739263	-0.279331	0.696444	2.339232	2.132992	-1.589818
26	2.320557	4.938466	8.938798	1.698976	-0.128690	8.810113	1.263420	6.400659	-0.283222	3.403057	-1.053281	-21.565138	-6.949633	0.813790	-2.873543	4.713705	-0.049405	-0.444005	-0.654588	-0.322762	0.681722	2.376782	2.132682	-1.580351
27	2.339395	4.940174	8.933182	1.672047	-0.123243	8.804296	1.263801	6.401367	-0.281564	3.404208	-1.049922	-21.567806	-6.947428	0.815996	-2.867713	4.706480	-0.059311	-0.451550	-0.566521	-0.368779	0.664944	2.410941	2.128352	-1.571007
