	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d	walk05.c3d
	L_Hip_Angle	L_Hip_Angle	L_Hip_Angle	L_Knee_Angle	L_Knee_Angle	L_Knee_Angle	R_Hip_Angle	R_Hip_Angle	R_Hip_Angle	R_Knee_Angle	R_Knee_Angle	R_Knee_Angle	Pelvis_Angle	Pelvis_Angle	Pelvis_Angle	Trunk_Angle	Trunk_Angle	Trunk_Angle	L_Knee_Moment	L_Knee_Moment	L_Knee_Moment	R_Knee_Moment	R_Knee_Moment	R_Knee_Moment
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
17	2.497388	0.831638	7.452034	2.039083	-0.691710	6.888912	4.152482	0.192626	2.587841	-2.608588	-3.081168	-16.461861	-0.700513	5.884088	-92.071693	-0.736002	-8.805512	-89.870384	0.808169	0.103222	-0.007946	0.272093	0.082566	-0.012969
18	2.542305	0.823047	7.472975	2.033886	-0.681476	6.784144	4.196393	0.210096	2.603988	-2.613677	-3.102030	-16.477690	-0.696264	5.913589	-92.015717	-0.730995	-8.824893	-89.820183	0.793519	0.126456	-0.005093	0.270562	0.060739	-0.011709
19	2.587485	0.816028	7.485689	2.027089	-0.674852	6.693402	4.240128	0.228884	2.619040	-2.617560	-3.122619	-16.499800	-0.690445	5.943286	-91.962944	-0.724276	-8.845935	-89.768959	0.779542	0.145301	-0.002039	0.259671	0.030348	-0.009723
20	2.632000	0.810099	7.491159	2.018718	-0.671585	6.616669	4.282732	0.248179	2.633068	-2.620175	-3.142540	-16.526424	-0.683188	5.972152	-91.913803	-0.715426	-8.868859	-89.716698	0.767449	0.154525	-0.000266	0.235035	-0.001058	-0.007271
21	2.675563	0.805058	7.490499	2.008163	-0.671756	6.553889	4.322869	0.266962	2.646409	-2.621080	-3.161044	-16.555586	-0.674540	5.999292	-91.868912	-0.704263	-8.893577	-89.663689	0.748091	0.156328	0.001313	0.208007	-0.028886	-0.005329
22	2.717743	0.800736	7.485499	1.995826	-0.675191	6.503950	4.359758	0.284344	2.659098	-2.620759	-3.177604	-16.585518	-0.664719	6.024032	-91.828690	-0.690883	-8.919622	-89.610329	0.733908	0.148181	0.001305	0.179600	-0.052772	-0.004072
23	2.757901	0.797575	7.477204	1.981974	-0.681825	6.465743	4.392827	0.299752	2.670764	-2.619926	-3.192089	-16.614809	-0.654212	6.045759	-91.793091	-0.675601	-8.946360	-89.557014	0.711414	0.138382	0.001473	0.149005	-0.071820	-0.002984
24	2.795386	0.796184	7.467083	1.967723	-0.690950	6.437261	4.422454	0.313006	2.680475	-2.619792	-3.204793	-16.642128	-0.643602	6.064318	-91.761711	-0.658913	-8.973098	-89.504128	0.697481	0.129258	0.001935	0.125404	-0.083390	-0.002079
25	2.829146	0.797396	7.457224	1.954430	-0.702162	6.415267	4.448951	0.324133	2.687449	-2.621641	-3.216250	-16.666481	-0.633577	6.079647	-91.733955	-0.641344	-8.999263	-89.451759	0.685512	0.122362	0.002795	0.120145	-0.083091	-0.000817
26	2.857729	0.801623	7.449076	1.944111	-0.714840	6.397033	4.472748	0.333312	2.690856	-2.626254	-3.226647	-16.687586	-0.624475	6.091910	-91.709076	-0.623385	-9.024443	-89.399879	0.689887	0.117621	0.003904	0.123584	-0.072161	0.000405
27	2.881047	0.809048	7.443606	1.937281	-0.728662	6.380348	4.494208	0.340857	2.690258	-2.633623	-3.235952	-16.705681	-0.616418	6.101392	-91.686348	-0.605436	-9.048410	-89.348610	0.690661	0.117921	0.005508	0.141948	-0.053793	0.001967
28	2.898798	0.819032	7.441766	1.934530	-0.742973	6.363281	4.513762	0.347183	2.685379	-2.643823	-3.244010	-16.721197	-0.609301	6.108349	-91.665230	-0.587774	-9.070981	-89.298492	0.712591	0.124569	0.007354	0.165217	-0.036053	0.003317
